CODI_INCIDENT;DESCRIPCIO_INCIDENT;CODI_DISTRICTE;NOM_DISTRICTE;ANY;MES;NOM_MES;NOMBRE_INCIDENTS
241;SUPORTS;10;Sant Martí;2013;3;Març;120
510;BARALLES;5;Sarrià-Sant Gervasi;2013;3;Març;12
300;ASSISTÈNCIA A PERSONES EN EDIFICI;10;Sant Martí;2013;3;Març;37
250;CONDUCCIONS I ACOMPANYAMENTS;9;Sant Andreu;2013;3;Març;3
040;TRANSPORT PÚBLIC;1;Ciutat Vella;2013;3;Març;1
241;SUPORTS;10;Sant Martí;2013;2;Febrer;95
210;ACCIDENTS DE TRÀNSIT SENSE FERITS;10;Sant Martí;2013;2;Febrer;70
221;INFRACCIONS PER ESTACIONAMENTS;9;Sant Andreu;2013;2;Febrer;72
230;TRASLLATS DE VEHICLES SENSE INFRACCIÓ;7;Horta-Guinardó;2013;2;Febrer;22
420;INCIDÈNCIES DE LOCALS;2;Eixample;2013;2;Febrer;44
470;ALTRES INTERVENCIONS DE P, ADMINISTRATIVA;4;Les Corts;2013;2;Febrer;28
810;ABOCAMENT DE RESIDUS;1;Ciutat Vella;2013;2;Febrer;2
410;ACTIVITATS MOLESTES EN ESPAIS PÚBLICS;7;Horta-Guinardó;2013;6;Juny;128
240;CONTROLS DE TRÀNSIT;7;Horta-Guinardó;2013;5;Maig;117
410;ACTIVITATS MOLESTES EN ESPAIS PÚBLICS;2;Eixample;2013;6;Juny;334
220;INFRACCIONS EN GUALS I RESERVES;9;Sant Andreu;2013;6;Juny;96
210;ACCIDENTS DE TRÀNSIT SENSE FERITS;10;Sant Martí;2013;6;Juny;84
062;AVARIES DE SERVEIS MUNICIPALS;10;Sant Martí;2013;5;Maig;9
242;IMMOBILITZACIONS /DESIMMOBILITZACIONS;5;Sarrià-Sant Gervasi;2013;5;Maig;3
211;ACCIDENTS DE TRÀNSIT AMB FERITS;5;Sarrià-Sant Gervasi;2013;6;Juny;107
650;VIGILÀNCIA POLICIAL;8;Nou Barris;2013;1;Gener;195
470;ALTRES INTERVENCIONS DE P, ADMINISTRATIVA;3;Sants-Montjuïc;2013;1;Gener;70
450;OBRES / TREBALLS EN ESPAIS PÚBLICS;6;Gràcia;2013;1;Gener;10
21B;ACCIDENT REBUT PEL 080 (Recodificar);5;Sarrià-Sant Gervasi;2013;1;Gener;5
230;TRASLLATS DE VEHICLES SENSE INFRACCIÓ;8;Nou Barris;2013;1;Gener;19
102;REFORMA;8;Nou Barris;2013;1;Gener;1
250;CONDUCCIONS I ACOMPANYAMENTS;4;Les Corts;2013;1;Gener;2
223;INFRACCIONS EN MOVIMENT (VEHICLES);1;Ciutat Vella;2013;1;Gener;6
430;ESPECTACLES EN ESPAIS PÚBLICS;6;Gràcia;2013;3;Març;2
441;ANIMALS / INSECTES PERILLOSOS;6;Gràcia;2013;3;Març;1
250;CONDUCCIONS I ACOMPANYAMENTS;2;Eixample;2013;4;Abril;4
301;ASSISTÈNCIA A PERSONES EN ESPAIS PÚBLICS;4;Les Corts;2013;4;Abril;35
241;SUPORTS;9;Sant Andreu;2013;4;Abril;22
422;INSPECCIONS / CONTROLS EN LOCALS;7;Horta-Guinardó;2013;4;Abril;12
640;INFRACCIONS D ESTRANGERS;3;Sants-Montjuïc;2013;1;Gener;2
061;AVARIES DE SERVEIS PÚBLICS;10;Sant Martí;2013;4;Abril;12
302;ASSISTÈNCIA A CONDUCTORS EN V, P,;6;Gràcia;2013;5;Maig;7
513;CONFLICTES EN LOCALS;2;Eixample;2013;6;Juny;55
060;SUBMINISTRAMENTS BÀSICS;7;Horta-Guinardó;2013;5;Maig;1
480;ALARMES D INCENDI / ROBATORI;8;Nou Barris;2013;2;Febrer;6
050;ATEMPTATS;9;Sant Andreu;2013;6;Juny;1
050;ATEMPTATS;10;Sant Martí;2013;5;Maig;1
302;ASSISTÈNCIA A CONDUCTORS EN V, P,;1;Ciutat Vella;2013;6;Juny;6
620;ESTUPEFAENTS / PSICOTROPICS;5;Sarrià-Sant Gervasi;2013;3;Març;2
400;CONVIVÈNCIA VEINAL;5;Sarrià-Sant Gervasi;2013;7;Juliol;314
410;ACTIVITATS MOLESTES EN ESPAIS PÚBLICS;2;Eixample;2013;7;Juliol;345
